ra,dec,v,Name
101.289,-16.713,-1.44,alpha_CMa (Sirius)
95.988,-52.696,-0.62,alpha_Car (Canopus)
213.918,19.187,-0.05,alpha_Boo (Arcturus)
219.92,-60.835,-0.01,alpha1_Cen (Rigel Kent)
279.234,38.783,0.03,alpha_Lyr (Vega)
79.172,45.999,0.08,alpha_Aur (Capella)
78.634,-8.202,0.18,beta_Ori (Rigel)
114.827,5.228,0.4,alpha_CMi (Procyon)
88.793,7.407,0.45,alpha_Ori (Betelgeuse)
24.428,-57.237,0.45,alpha_Eri (Achernar)
210.956,-60.373,0.61,beta_Cen (Hadar)
297.695,8.867,0.76,alpha_Aql (Altair)
186.65,-63.099,0.77,alpha1_Cru (Acrux)
68.98,16.51,0.87,alpha_Tau (Aldebaran)
201.298,-11.161,0.98,alpha_Vir (Spica)
247.352,-26.432,1.06,alpha_Sco (Antares)
116.331,28.026,1.16,beta_Gem (Pollux)
344.412,-29.622,1.17,alpha_PsA (Fomalhaut)
310.358,45.28,1.25,alpha_Cyg (Deneb)
191.93,-59.689,1.25,beta_Cru
219.914,-60.839,1.35,alpha2_Cen
152.094,11.967,1.36,alpha_Leo (Regulus)
104.656,-28.972,1.5,epsilon_CMa (Adhara)
113.65,31.889,1.58,alpha_Gem (Castor)
187.791,-57.113,1.59,gamma_Cru
263.402,-37.104,1.62,lambda_Sco (Shaula)
81.283,6.35,1.64,gamma_Ori (Bellatrix)
81.573,28.608,1.65,beta_Tau (Alnath)
138.301,-69.717,1.67,beta_Car
84.053,-1.202,1.69,epsilon_Ori (Alnilam)
332.058,-46.961,1.73,alpha_Gru (Alnair)
85.19,-1.943,1.74,zeta_Ori (Alnitak)
122.383,-47.337,1.75,gamma_Vel
193.507,55.96,1.76,epsilon_UMa (Alioth)
276.043,-34.384,1.79,epsilon_Sgr (Kaus Australis)
51.081,49.861,1.79,alpha_Per (Mirphak)
165.933,61.751,1.81,alpha_UMa (Dubhe)
107.098,-26.393,1.83,delta_CMa
206.886,49.313,1.85,eta_UMa (Alkaid)
264.33,-42.998,1.86,theta_Sco
125.629,-59.51,1.86,epsilon_Car
89.882,44.947,1.9,beta_Aur
252.166,-69.028,1.91,alpha_TrA
131.176,-54.709,1.93,delta_Vel
99.428,16.399,1.93,gamma_Gem (Alhena)
306.412,-56.735,1.94,alpha_Pav
37.946,89.264,1.97,alpha_UMi (Polaris)
95.675,-17.956,1.98,beta_CMa
141.897,-8.659,1.99,alpha_Hya (Alphard)
154.992,19.842,2.01,gamma1_Leo (Algieba)
31.793,23.463,2.01,alpha_Ari (Hamal)
10.897,-17.987,2.04,beta_Cet (Diphda)
283.816,-26.297,2.05,sigma_Sgr (Nunki)
211.672,-36.369,2.06,theta_Cen
86.939,-9.67,2.07,kappa_Ori (Saiph)
2.097,29.091,2.07,delta_Peg (Alpheratz)
340.666,-46.885,2.07,beta_Gru
17.432,35.621,2.07,beta_And (Mirach)
222.677,74.155,2.07,beta_UMi (Kocab)
263.733,12.561,2.08,alpha_Oph (Rasalhague)
47.042,40.956,2.09,beta_Per (Algol)
30.975,42.33,2.1,gamma1_And
177.266,14.572,2.14,beta_Leo (Denebola)
14.177,60.717,2.15,gamma_Cas
190.38,-48.96,2.2,gamma_Cen
120.896,-40.003,2.21,zeta_Pup
139.273,-59.275,2.21,iota_Car
233.672,26.715,2.22,alpha_CrB (Alphekka)
136.999,-43.433,2.23,lambda_Vel
305.557,40.257,2.23,gamma_Cyg
200.981,54.925,2.23,zeta_UMa (Mizar)
10.127,56.537,2.24,alpha_Cas (Shedir)
269.152,51.489,2.24,gamma_Dra (Etamin)
83.002,-0.299,2.25,delta_Ori (Mintaka)
2.292,59.15,2.28,beta_Cas (Caph)
240.083,-22.622,2.29,delta_Sco
252.543,-34.293,2.29,epsilon_Sco
204.972,-53.466,2.29,epsilon_Cen
220.482,-47.388,2.3,alpha_Lup
218.877,-42.158,2.33,eta_Cen
165.46,56.382,2.34,beta_UMa (Merak)
221.247,27.074,2.35,epsilon_Boo (Izar)
326.046,9.875,2.38,epsilon_Peg (Enif)
265.622,-39.03,2.39,kappa_Sco
6.57,-42.305,2.4,alpha_Phe (Ankaa)
178.457,53.695,2.41,gamma_UMa (Phad)
257.594,-15.725,2.43,eta_Oph
345.943,28.082,2.44,beta_Peg (Scheat)
319.644,62.585,2.45,alpha_Cep (Alderamin)
111.024,-29.303,2.45,eta_CMa
140.528,-55.011,2.47,kappa_Vel
311.552,33.969,2.48,epsilon_Cyg
346.19,15.205,2.49,alpha_Peg (Markab)
249.29,-10.567,2.54,zeta_Oph
45.57,4.09,2.54,alpha_Cet (Menkar)
208.885,-47.288,2.55,zeta_Cen
241.359,-19.805,2.56,beta1_Sco
168.527,20.524,2.56,delta_Leo
182.09,-50.722,2.58,delta_Cen
83.183,-17.822,2.58,alpha_Lep (Arneb)
183.952,-17.542,2.58,gamma_Crv
285.653,-29.88,2.6,zeta_Sgr
229.252,-9.383,2.61,beta_Lib
236.067,6.426,2.63,alpha_Ser (Unukalhai)
28.66,20.808,2.64,beta_Ari
89.93,37.213,2.65,theta_Aur
188.597,-23.397,2.65,beta_Crv
84.912,-34.074,2.65,alpha_Col
21.453,60.235,2.66,delta_Cas
208.671,18.399,2.68,eta_Boo
224.633,-43.134,2.68,beta_Lup
161.692,-49.42,2.69,mu_Vel
189.296,-69.136,2.69,alpha_Mus
74.248,33.166,2.69,iota_Aur
262.691,-37.296,2.7,nu_Sco
109.286,-37.097,2.71,pi_Pup
296.565,10.613,2.72,gamma_Aql (Tarazed)
275.248,-29.828,2.72,delta_Sgr
245.998,61.514,2.73,eta_Dra
243.587,-3.694,2.73,delta_Oph
190.417,-1.45,2.74,gamma_Vir
160.739,-64.394,2.74,theta_Car
222.72,-16.042,2.75,alpha1_Lib
200.15,-36.712,2.75,iota_Cen
83.858,-5.91,2.75,iotaOri
265.868,4.567,2.76,beta_Oph
76.963,-5.086,2.78,beta_Eri
247.555,21.49,2.78,beta_Her
258.662,14.39,2.78,alpha1/2_Her (Rasalgethi)
183.786,-58.749,2.79,delta_Cru
262.608,52.301,2.79,beta_Dra
233.785,-41.167,2.8,gamma_Lup
250.323,31.602,2.81,zeta_Her
82.061,-20.759,2.81,beta_Lep (Nihal)
248.971,-28.216,2.82,tau_Sco
6.413,-77.255,2.82,beta_Hyi
276.993,-25.421,2.82,lambda_Sgr
3.309,15.184,2.83,gamma_Peg (Algenib)
121.886,-24.304,2.83,rho_Pup
238.787,-63.43,2.83,beta_TrA
261.325,-55.53,2.84,beta_Ara
262.961,-49.876,2.84,alpha_Ara
58.533,31.884,2.84,zeta_Per
326.76,-16.127,2.85,delta_Cap
195.545,10.959,2.85,epsilon_Vir (Vindemiatrix)
56.871,24.105,2.85,eta_Tau (Alcyone)
29.691,-61.57,2.86,alpha_Hyi
296.244,45.131,2.86,delta_Cyg
334.626,-60.259,2.87,alpha_Tuc
95.74,22.514,2.87,mu_Gem
