M,num,name,v,ra,dec
M45,,Pleiades,1.6,03h47m24s,+24 07 00
M24,IC 4715,Small Sagittarius Star Cloud,2.5,18h17m,18 33
M7,NGC 6475,Ptolemy Cluster,3.3,17h53m51.2s,34 47 34
M31,NGC 224,Andromeda Galaxy,3.4,00h42m44.3s,+41 16 9
M44,NGC 2632,Beehive Cluster or Praesepe,3.7,08h40.4m,+19 59
M42,NGC 1976,Orion Nebula,4,05h35m17.3,05 23 28
M6,NGC 6405,Butterfly Cluster,4.2,17h40.1m,32 13
M47,NGC 2422,,4.2,07h36.6m,14 30
M41,NGC 2287,,4.5,06h46.0m,20 46
M25,IC 4725,,4.6,18h31.6m,19 15
M52,NGC 7654,,5,23h24.2m,+61 35
M22,NGC 6656,Sagittarius Cluster,5.1,18h36m23.94s,23 54 17.1
M35,NGC 2168,,5.3,06h09.1m,+24 21
M34,NGC 1039,,5.5,02h42.1m,+42 46
M39,NGC 7092,,5.5,21h31m42s,+48 26 00
M48,NGC 2548,,5.5,08h13.7m,05 45
M33,NGC 598,Triangulum/Pinwheel Galaxy,5.7,01h33m50.02s,+30 39 36.7
M13,NGC 6205,Great Globular Cluster in Hercules,5.8,16h41m41.24s,+36 27 35.5
M4,NGC 6121,,5.9,16h23m35.22s,26 31 32.7
M50,NGC 2323,,5.9,07h03.2m,08 20
M8,NGC 6523,Lagoon Nebula,6,18h03m37s,24 23 12
M16,NGC 6611,Eagle Nebula,6,18h18m48s,13 49
M17,NGC 6618,"Omega, Swan, Horseshoe, or Lobster Nebula",6,18h20m26s,16 10 36
M93,NGC 2447,,6,07h44.6m,23 52
M46,NGC 2437,,6.1,07h41.8m,14 49
M67,NGC 2682,,6.1,08h51.3m,+11 49
M71,NGC 6838,,6.1,19h53m46.49s,+18 46 45.1
M3,NGC 5272,,6.2,13h42m11.62s,+28 22 38.2
M15,NGC 7078,,6.2,21h29m58.33s,+12 10 01.2
M37,NGC 2099,,6.2,05h52m18s,+32 33 02
M2,NGC 7089,,6.3,21h33m27.02s,00 49 23.7
M11,NGC 6705,Wild Duck Cluster,6.3,18h51.1m,06 16
M20,NGC 6514,Trifid Nebula,6.3,18h02m23s,23 01 48
M36,NGC 1960,,6.3,05h36m12s,+34 08 4
M92,NGC 6341,,6.3,17h17m07.39s,+43 08 09.4
M10,NGC 6254,,6.4,16h57m8.92s,04 05 58.07
M21,NGC 6531,,6.5,18h04.6m,22 30
M5,NGC 5904,,6.7,15h18m33.22s,+02 04 51.7
M23,NGC 6494,,6.9,17h56.8m,19 01
M81,NGC 3031,Bode's Galaxy,6.9,09h55m33.2s,+69 3 55
M29,NGC 6913,Cooling Tower,7.1,20h23m56s,+38 31 24
M38,NGC 1912,Starfish Cluster,7.4,05h28m42s,+35 51 18
M55,NGC 6809,,7.4,19h39m59.71s,30 57 53.1
M62,NGC 6266,,7.4,17h01m12.60s,30 06 44.5
M103,NGC 581,,7.4,01h33.2m,+60 42
M18,NGC 6613,,7.5,18h19.9m,17 08
M19,NGC 6273,,7.5,17h02m37.69s,26 16 04.6
M27,NGC 6853,Dumbbell Nebula,7.5,19h59m36.340s,+22 43 16.09
M83,NGC 5236,Southern Pinwheel Galaxy,7.5,13h37m00.9s,29 51 57
M12,NGC 6218,,7.7,16h47m14.18s,01 56 54.7
M28,NGC 6626,,7.7,18h24m32.89s,24 52 11.4
M30,NGC 7099,,7.7,21h40m22.12,23 10 47.5
M80,NGC 6093,,7.9,16h17m02.41s,22 58 33.9
M101,NGC 5457,Pinwheel Galaxy,7.9,14h03m12.6s,+54 20 57
M26,NGC 6694,,8,18h45.2m,09 24
M32,NGC 221,Small Andromeda Galaxy,8.1,00h42m41.8s,+40 51 55
M14,NGC 6402,,8.3,17h37m36.15s,03 14 45.3
M53,NGC 5024,,8.3,13h12m55.25s,+18 10 05.4
M56,NGC 6779,,8.3,19h16m35.57s,+30 11 00.5
M69,NGC 6637,,8.3,18h31m23.10s,32 20 53.1
M78,NGC 2068,,8.3,05h46m46.7s,+00 00 50
M1,NGC 1952,Crab Nebula,8.4,05h34m31.94s,+22 00 52.2
M9,NGC 6333,,8.4,17h19m11.78s,18 30 58.5
M51,"NGC 5194,NGC 5195",Whirlpool Galaxy,8.4,13h29m52.7s,+47 11 43
M54,NGC 6715,,8.4,18h55m03.33s,30 28 47.5
M82,NGC 3034,Cigar Galaxy,8.4,09h55m52.2s,+69 40 47
M79,NGC 1904,,8.6,05h24m10.59s,24 31 27.3
M57,NGC 6720,Ring Nebula,8.8,18h53m35.079s,+33 01 45.03
M66,NGC 3627,Leo Triplet,8.9,11h20m15.0s,+12 59 30
M107,NGC 6171,,8.9,16h32m31.86s,13 03 13.6
M43,NGC 1982,De Mairan's Nebula,9,05h35.6m,05 16
M73,NGC 6994,,9,20h58m54s,12 38
M94,NGC 4736,Croc's Eye or Cat's Eye,9,12h50m53.1s,+41 07 14
M104,NGC 4594,Sombrero Galaxy,9,12h39m59.4s,11 37 23
M110,NGC 205,,9,00h40m22.1s,+41 41 07
M70,NGC 6681,,9.1,18h43m12.76s,32 17 31.6
M106,NGC 4258,,9.1,12h18m57.5s,+47 18 14
M75,NGC 6864,,9.2,20h06m04.75s,21 55 16.2
M63,NGC 5055,Sunflower Galaxy,9.3,13h15m49.3s,+42 01 45
M49,NGC 4472,,9.4,12h29m46.7s,+08 00 02
M64,NGC 4826,Black Eye Galaxy,9.4,12h56m43.7s,+21 40 58
M72,NGC 6981,,9.4,20h53m27.70s,12 32 14.3
M77,NGC 1068,Cetus A,9.6,02h42m40.7s,00 00 48
M87,NGC 4486,Virgo A,9.6,12h30m49.42338s,+12 23 28.0439
M40,,Winnecke-4,9.7,12h22m12.5s,+58 4 59
M68,NGC 4590,,9.7,12h39m27.98s,26 44 38.6
M60,NGC 4649,,9.8,12h43m39.6s,+11 33 09
M86,NGC 4406,,9.8,12h26m11.7s,+12 56 46
M97,NGC 3587,Owl Nebula,9.9,11h14m47.734s,+55 01 08.50
M74,NGC 628, Phantom Galaxy,10,01h36m41.8s,+15 47 01
M85,NGC 4382,,10,12h25m24.0s,+18 11 28
M76,"NGC 650, NGC 651",Little Dumbbell Nebula,10.1,01h42.4m,+51 34 31
M84,NGC 4374,,10.1,12h25m03.7s,+12 53 13
M96,NGC 3368,,10.1,10h46m45.7s,+11 49 12
M100,NGC 4321,,10.1,12h22m54.9s,+15 49 21
M61,NGC 4303,,10.2,12h21m54.9s,+04 28 25
M105,NGC 3379,,10.2,10h47m49.6s,+12 34 54
M65,NGC 3623,Leo Triplet,10.3,11h18m55.9s,+13 05 32
M90,NGC 4569,,10.3,12h36m49.8s,+13 09 46
M88,NGC 4501,,10.4,12h31m59.2s,+14 25 14
M99,NGC 4254,,10.4,12h18m49.6s,+14 24 59
M58,NGC 4579,,10.5,12h37m43.5s,+11 49 05
M59,NGC 4621,,10.6,12h42m02.3s,+11 38 49
M109,NGC 3992,,10.6,11h57m36.0s,+53 22 28
M89,NGC 4552,,10.7,12h35m39.8s,+12 33 23
M102,NGC 5866,Spindle Galaxy,10.7,15h06m29.5s,+55 45 48
M108,NGC 3556,,10.7,11h11m31.0s,+55 40 27
M91,NGC 4548,,11,12h35m26.4s,+14 29 47
M98,NGC 4192,,11,12h13m48.292s,+14 54 01.69
M95,NGC 3351,,11.4,10h43m57.7s,+11 42 14